Date,Number of comments
4/1/2020,4
4/2/2020,5
4/3/2020,3
4/4/2020,3
4/5/2020,3
4/6/2020,6
4/7/2020,2
4/8/2020,3
4/9/2020,3
4/10/2020,2
4/11/2020,3
4/12/2020,2
4/13/2020,5
4/14/2020,2
4/15/2020,4
4/16/2020,3
4/17/2020,7
4/18/2020,4
4/19/2020,3
4/20/2020,3
4/21/2020,3
4/22/2020,5
4/23/2020,4
4/24/2020,3
4/25/2020,3
4/26/2020,5
4/27/2020,3
4/28/2020,3
4/29/2020,4
4/30/2020,5
5/1/2020,4
5/2/2020,2
5/3/2020,4
5/4/2020,3
5/5/2020,3
5/6/2020,3
5/7/2020,3
5/8/2020,2
5/9/2020,4
5/10/2020,4
5/11/2020,2
5/12/2020,1
5/13/2020,3
5/14/2020,1
5/15/2020,1
