Post Number,Original Post date,Original Post Time,Retweets,Likes,URL,Content,
1,12/4/2020,5:04:00 PM,28,305,https://twitter.com/irajonline/status/1249299854385283072,එක රටක් එක නීතියක් !!!Red heartFlag of Sri LankaFolded hands කොරෝනා නිසා මිය ගිය දේහයන් ආදාහනය පමණයි – රජය අති විශේෂ ගැසට් පත්‍රයකින්ම නීතිගත කරයි!,
,,,,,,,
1.1,12/4/2020,6:49 PM,0,17,https://twitter.com/SLPPDumbster/status/1249326293675540480,දැන්වත් (බෞද්ධ යයි කියාගන්නා) ඔබේ වෛරය සන්සිදේද?... 🙏🏻,
1.2,13/4/2020,3:38 AM,0,20,https://twitter.com/DilonJayaweera/status/1249459325635981312,"If there was really one law, you’d be rotting in jail by now for promoting propaganda as the truth.",
1.3,12/4/2020,5:05 PM,1,9,https://twitter.com/Beruwalatweet/status/1249300217192542208,content is from WHO --- URL --- https://twitter.com/WHO/status/1248611493320392709,
1.3.1,12/4/2020,5:36 PM,0,0,https://twitter.com/uyasas/status/1249308026118397953,Imoji - Face with tears of joy,
1.4,12/4/2020,6:30 PM,0,10,https://twitter.com/AnfasLatheef/status/1249321392396333057,Election campaign only nothing else bro.....,
1.5,13/5/2020,11:36 AM,2,1,https://twitter.com/mirhaniya/status/1249579584816844801,"Masters  of Fake News, @Iraj,@Chathura, fake medias @Hiru@Derana . shud have been punished,but no way, they are the blue-eyed boys of the Corrupt Rajapaksas.#UNP #SLPP #Lka",
1.6,12/4/2020,7:53 PM,0,4,https://twitter.com/BeingNuzrad/status/1249342294970400770,How racist this bugger and how happily inciting the racism even during pandemic when all the territories fighting against a common enemy. Fueling racism is a crime according to SL law yet the law applicable only for non verified account holders.#COVID19SL #SayNoToRacism,
1.7,12/4/2020,5:51 PM,0,5,https://twitter.com/kiyasmed/status/1249311715314896902,It's called as using the opportunity to revenge,
1.8,12/4/2020,8:46 PM,0,5,https://twitter.com/chamif1004/status/1249355606823182338,එකම රටක ඔයාට විතරක් ඇයි නිතිය වෙනස්....,
1.9,12/4/2020,5:14 PM,0,11,https://twitter.com/Aaloka1980/status/1249302276050571264,"ලෝකයට අපි කියනවා අපි අනෙක් මතවාද වලට ගරු කරන්නේ නැති අසංවේදී පාලකයන් කියලා, හරි එක රටක් එක නීතියක් නම් ICCPR නීතිය අමු අමුවේ උල්ලංඝනය කරන ජාතිවාදය අවුස්සමින් අමන ලෙස කටයුතු කරන ඔබ වන්නන් එලියේ කොහොමද",
1.9.1,12/4/2020,5:37 PM,0,2,https://twitter.com/uyasas/status/1249308169362264064,Imoji - Face with tears of joy,
1.9.2,13/4/2020,8:30 AM,0,1,https://twitter.com/twtmemaybe/status/1249532979069640704,මතවාද වලට බෙදිලා හිටියොත් වෙන්නෙ ඇමරිකාවට වෙච්ච දේ. එහේ vaccines එපා කියපු අයට දුන්නෙ නෑ. වලලන්න ඕන අයට වලලන්න දුන්නා. සෞඛ්‍ය රක්ෂණ අනිවාර්ය කරන්න එපා කිව්ව අයට ඉඩ දීලා ඒකත් එහෙම හිටියා. දැන් දහස් ගානෙන් මැරෙනවා. මතවාද පස්සෙ විසඳගමු. දැනට වෛද්‍ය උපදෙස් පිළිගෙන අපි ඔක්කොම බේරෙමු.,
1.10,12/4/2020,5:25 PM,0,4,https://twitter.com/pasidu_dilanka/status/1249305198864093184,නිිතිය කාටත් පොදු විය යුතුය කොන්ද පණ තියෙන ආණ්ඩුවක් ,
1.11,12/4/2020,11:37 PM,0,4,https://twitter.com/zafarnilam/status/1249398643238600706,Fight against corona not with nana..,
1.12,12/4/2020,6:00 PM,1,11,https://twitter.com/my_rizaniya/status/1249314020793991168,"Happy? Now, get a trampoline and jump higher as u wish. ",
1.13,12/4/2020,7:22 PM,0,1,https://twitter.com/nifaadhalavi/status/1249334563601440768,ඉල්ලන් කාපු මාමයිට් එක මේක.....,
1.14,13/4/2020,6:18 AM,0,2,https://twitter.com/Hiloor1/status/1249499560625438721,One country one law...?.Lets abolish executive presidency have the right even to sue president?You agree but licker?,
1.15,12/4/2020,6:34 PM,0,4,https://twitter.com/razeenzarook/status/1249322551186280448,irajonline Grinning faceGrinning faceGrinning face very very good. Ubala mewa karata apita aulak nehe modayooooo. Ubala wage kattiyata thamai corona hedenna one. Ubala hithan inne mehema kara kiyala aka loku jayagrahanayak kiyala....🖕🏻🖕🏻🖕🏻 ape rata koi wage ratak kiyala loketama pennanne. Jaathi waadee ratak.,
1.16,12/4/2020,10:28 PM,0,0,https://twitter.com/TheOddGuySL/status/1249381452577492993,Sleepy faceBroken heart,Twitter for Android
